aadress
äärde
ääre
ääres
äärmiselt
äärtel
aasta
aastaajarütmi
aastaaruande
aastaaruannet
aastad
aastaga
aastaid
aastaks
aastakümneid
aastal
aastane
aastapäev
aastas
aastased
aastasesse
aastast
aastat
aastatasu
aastate
aastatel
aastavahetus
aateline
abi
abikaasa
abiks
abil
abistades
abistamisvõtted
abitreenerina
abivägi
abiverb
absoluut
absoluutne
absoluutselt
abstraktne
abstraktsed
abstraktselt
abstraktses
absurdne
adekvaatselt
administraator
administraatori
adresseerima
adverbe
adverbid
adverbide
aeg
aegajalt
aeglane
aeglaselt
aeglus
aegne
aegruumikirjeldused
aetagu
aeti
aetud
aferiste
agaralt
äge
agent
ahastaja
ahi
ahju
ähmase
ahsoo
ähvarduskiri
aia
aias
aidanud
aidanuksid
aidata
aietasin
aimamatu
aimatava
aime
aimugi
aimus
aina
aine
ained
aineid
aineprogrammis
ainet
ainsuse
ainuke
ainukene
ainult
ainuõigel
ainupädevuses
ainus
aistingutele
ait
aita
aitab
aitajatele
aitaks
aitas
aitavad
aja
ajab
ajad
ajada
ajaga
ajagi
ajakava
ajakirjandus
ajakirjanik
ajaks
ajal
ajalehe
ajaleht
ajalise
ajaloo
ajaloos
ajalugu
ajama
ajan
ajapiirangut
ajapunkt
ajas
ajasid
ajasin
ajast
ajastama
ajastu
aju
ajukirurgiat
ajuosi
ajuripats
ajus
ajusurmas
ajuvaba
akadeemik
akas
aken
akende
äkist
äkki
akna
aknad
aknaluukidega
aknast
akte
akti
aktide
aktiivne
aktiivsed
aktiivselt
aktiivsus
aktsendiga
aktsent
aktsia
aktsiisitõusu
aktuaalsele
aku
akulturatsiooni
akustilised
akut
ala
alad
aladel
alal
alalhoid
alamdialoog
alammõiste
alampiir
alates
alati
alatise
albumid
albumiga
albumitest
alevi
algab
algajad
algas
algasid
algavad
algaval
algselt
algtähenduses
algul
algupärandeid
algus
alguse
alguses
algusest
algust
alistamisest
alkohol
alkoholi
alkohoolsed
all
alla
allagi
allahindamiseks
allapoole
allergiahoogude
allergiaid
alles
alligaatorinahast
allikas
allikasookesi
allofoone
allofoonid
allofoonide
allomorfi
allperioodil
allpool
allusioonist
alluvussuhtele
alt
altarile
alternatiivid
altkäemaksuafääri
altmineja
alumiinium
alumine
alumisest
alus
aluse
aluseks
alusel
alustab
alustada
alustaladeni
alustama
alustame
alustanudki
alustas
alustasid
alustasime
alustasin
alutsi
ämbrid
ameeriklane
ameeriklastele
amet
ametiaega
ametiaja
ametiasutused
ametiasutusel
ametimees
ametitöös
ametivelle
ametlik
ametlikult
ametnik
ämm
ämma
ammendatud
ammu
anaeroobne
anakronistlikuks
analüüs
analüüsi
analüüsida
analüüsima
analüüsitud
anda
andekad
andekas
andi
andis
andma
andmatagi
andmebaas
andmebaasi
andmed
andmeid
andmestruktuure
andmete
andmine
andnud
andsid
andsime
andsin
angerjat
anna
annab
annad
annaks
annan
annavad
annusega
anta
antakse
anti
antibiootikumideks
antisemiitlikuks
antud
aparaadiga
aparaadini
aparaat
apellatsioonikaebuse
aplausi
appi
aprill
aprillis
apteegiasjanduse
ära
araablastesse
äragi
äratarvitatud
areaallingvistika
arendada
arendagi
arendamine
arendamisel
arendamisfaasis
arendusdirektorina
arendusfirmadele
areneb
arenenud
areng
arengukonverentsi
arenguprogrammi
arenguväljavaated
aretama
aretistest
ärge
argpüks
argumendid
argument
argumentatsioon
argumenteerituks
arhitektiga
arhitektuur
arhitektuuritudengi
arhiveeritud
äri
ärides
ärihai
ärilisest
äriorganisatsiooniks
äriplaanide
äriplaanidele
äris
äritegemine
äriuudised
ärkab
ärkasin
ärkliaknast
ärkvel
armaada
armas
armastuslaul
armastuslugu
armastusromaan
ärme
armilise
armistumist
armuda
ärritab
ärrituses
arrogantsemalt
arst
arsti
arstiabist
arstid
arstidelt
artikkel
artikleid
artikli
artiklid
artiklis
artiklist
artiklit
artiklite
aru
aruanne
arusaadav
arusaamatu
arusaamine
arusaamise
arust
arutada
arutades
arutama
arutasime
arutatakse
arv
arva
arvab
arvad
arvamus
