abiellumist	a-bi_el-lu-mist	3.33
abiellunud	a-bi_el-lu-nud	4.40
abiellus	a-bi_el-lus	7.60
abiellusin	a-bi_el-lu-sin	1.20
abielluski	a-bi_el-lus-ki	0.13
abielu	a-bi_e-lu	0.07
abielule	a-bi_e-lu-le	0.87
abielumehed	a-bi_e-lu_me-hed	0.27
abielunaine	a-bi_e-lu_nai-ne	1.13
abielupaar	a-bi_e-lu_paar	4.87
abielupaari	a-bi_e-lu_paa-ri	0.07
abielus	a-bi_e-lus	0.20
abielusadamasse	a-bi_e-lu_sa-da-mas-se	0.53
abielusidki	a-bi_e-lu-sid-ki	0.07
abielusõrmused	a-bi_e-lu_sõr-mu-sed	0.13
abielust	a-bi_e-lust	7.27
abiga	a-bi-ga	21.53
abikaasa	a-bi_kaa-sa	0.07
abikaasad	a-bi_kaa-sad	0.07
abikaasade	a-bi_kaa-sa-de	3.47
abikaasadele	a-bi_kaa-sa-de-le	0.27
abikaasaga	a-bi_kaa-sa-ga	9.40
abikaasale	a-bi_kaa-sa-le	6.07
abikaasasid	a-bi_kaa-sa-sid	0.67
abikaasat	a-bi_kaa-sat	7.20
abikaasata	a-bi_kaa-sa-ta	0.13
abiks	a-biks	22.53
abil	a-bil	0.07
abilinnapea	a-bi_lin-na_pea	7.93
abilinnapead	a-bi_lin-na_pead	0.67
abilinnapeale	a-bi_lin-na_pea-le	0.27
abilise	a-bi-li-se	5.13
abilistel	a-bi-lis-tel	0.07
abimaavanem	a-bi_maa_va-nem	0.07
abimetsaülema	a-bi_met-sa_ü-le-ma	0.13
abina	a-bi-na	1.33
abinõud	a-bi_nõud	4.53
abinõusid	a-bi_nõu-sid	4.87
abiotsivalt	a-bi_ot-si-valt	0.67
abipalveid	a-bi_pal-veid	0.20
abiprogramme	a-bi_prog-ram-me	0.27
abiprogrammi	a-bi_prog-ram-mi	0.47
abiprokurör	a-bi_pro-ku-rör	0.27
abiraha	a-bi_ra-ha	2.13
abistada	a-bis-ta-da	2.80
abistajaks	a-bis-ta-jaks	0.20
abistaks	a-bis-taks	0.33
abistamise	a-bis-ta-mi-se	1.73
abistamiseks	a-bis-ta-mi-seks	2.67
abistanud	a-bis-ta-nud	0.07
abita	a-bi-ta	8.07
abitu	a-bi-tu	1.67
abituid	a-bi-tuid	0.53
abitult	a-bi-tult	5.20
abituna	a-bi-tu-na	0.53
abiturient	a-bi-tu-ri-ent	0.93
abitust	a-bi-tust	0.07
abitut	a-bi-tut	0.87
abitute	a-bi-tu-te	0.13
abivägi	a-bi_vä-gi	0.27
