word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
asfalt,as-falt,anzalt,2/3,4,N,0,2.6,4,1499,315,153,1,2,113,268,0,0,0.5,0,0,-2,0,1,0,0
asfalt,as-falt,anfelt,2/3,4,N,0,2.6,4,1499,315,153,4,4,85,268,0,0,0.5,0,0,-2,3,3,-28,0
asfalt,as-falt,arfelt,2/3,4,N,1,2.6,4,1499,315,199,1,4,85,268,0,1,0.5,0,0,44,0,3,-28,0
asfalt,as-falt,asjelt,2/3,4,N,0,2.45,4,1499,315,155,19,45,85,268,0,0,0.3500000000000001,0,0,0,18,44,-28,0
asfalt,as-falt,alfelt,2/3,4,N,0,2.5,4,1499,315,217,1,4,85,268,0,0,0.3999999999999999,0,0,62,0,3,-28,0
asfalt,as-falt,anfilt,2/3,4,N,0,2.9,4,1499,315,153,4,10,37,268,0,0,0.7999999999999998,0,0,-2,3,9,-76,0
asfalt,as-falt,ambalt,2/3,4,N,0,2.35,4,1499,315,63,65,111,113,268,0,0,0.25,0,0,-92,64,110,0,0
asfalt,as-falt,amfelt,2/3,4,N,0,2.75,4,1499,315,63,1,4,85,268,0,0,0.6499999999999999,0,0,-92,0,3,-28,0
asfalt,as-falt,amfilt,2/3,4,N,0,2.9,4,1499,315,63,1,10,37,268,0,0,0.7999999999999998,0,0,-92,0,9,-76,0
asfalt,as-falt,ampalt,2/3,4,N,0,2.4,4,1499,315,63,23,70,113,268,0,0,0.2999999999999998,0,0,-92,22,69,0,0
deemon,dee-mon,faimon,2/3,4,N,0,2.95,4,51,2,188,341,12,9,359,0,0,0.10000000000000009,14,1,-9,0,0,0,0
deemon,dee-mon,feekon,2/3,4,N,0,2.9,4,51,1,197,344,24,9,359,0,0,0.04999999999999982,14,0,0,3,12,0,0
deemon,dee-mon,geimon,2/3,4,N,0,2.8,4,19,2,170,341,12,9,359,0,0,-0.050000000000000266,-18,1,-27,0,0,0,0
deemon,dee-mon,geemot,2/3,4,N,0,2.9,4,19,2,197,341,12,16,330,0,0,0.04999999999999982,-18,1,0,0,0,7,-29
deemon,dee-mon,geekon,2/3,4,N,0,2.85,4,19,2,197,344,24,9,359,0,0,0.0,-18,1,0,3,12,0,0
deemon,dee-mon,deekot,2/3,4,N,0,2.95,4,37,1,197,344,24,16,330,0,0,0.10000000000000009,0,0,0,3,12,7,-29
deemon,dee-mon,feemot,2/3,4,N,0,2.9,4,51,1,197,341,12,16,330,0,0,0.04999999999999982,14,0,0,0,0,7,-29
deemon,dee-mon,beimon,2/3,4,N,0,2.95,4,56,3,170,341,12,9,359,0,0,0.10000000000000009,19,2,-27,0,0,0,0
deemon,dee-mon,beekon,2/3,4,N,0,2.9,4,56,2,197,344,24,9,359,0,0,0.04999999999999982,19,1,0,3,12,0,0
deemon,dee-mon,beemot,2/3,4,N,0,2.9,4,56,2,197,341,12,16,330,0,0,0.04999999999999982,19,1,0,0,0,7,-29
diivan,dii-van,giivat,2/3,4,N,0,2.2,4,19,2,301,297,312,83,330,0,0,-0.1499999999999999,-18,-1,0,0,0,-20,-29
diivan,dii-van,gaavan,2/3,4,N,0,2.5,4,19,2,266,297,312,103,359,0,0,0.1499999999999999,-18,-1,-35,0,0,0,0
diivan,dii-van,goovan,2/3,4,N,0,2.45,4,19,1,335,297,312,103,359,0,0,0.10000000000000009,-18,-2,34,0,0,0,0
diivan,dii-van,faavan,2/3,4,N,0,2.5,4,51,2,266,297,312,103,359,0,0,0.1499999999999999,14,-1,-35,0,0,0,0
diivan,dii-van,foovan,2/3,4,N,0,2.45,4,51,1,335,297,312,103,359,0,0,0.10000000000000009,14,-2,34,0,0,0,0
diivan,dii-van,diikin,2/3,4,N,0,2.55,4,37,3,301,344,250,139,359,0,0,0.19999999999999973,0,0,0,47,-62,36,0
diivan,dii-van,doovat,2/3,4,N,1,2.4,4,37,1,335,297,312,83,330,0,1,0.04999999999999982,0,-2,34,0,0,-20,-29
diivan,dii-van,duuvat,2/3,4,N,0,2.8,4,37,2,249,297,312,83,330,0,0,0.44999999999999973,0,-1,-52,0,0,-20,-29
diivan,dii-van,buuvan,2/3,4,N,0,2.8,4,56,1,249,297,312,103,359,0,0,0.44999999999999973,19,-2,-52,0,0,0,0
diivan,dii-van,baavan,2/3,4,N,0,2.45,4,56,12,266,297,312,103,359,0,0,0.10000000000000009,19,9,-35,0,0,0,0
eirama,ei-ra-ma,eusima,2/3,4,N,1,2.1,6,2852,9,12,875,601,3050,1226,807,2585,7557,0,1,0.050000000000000266,0,-11,-160,-165,231,-158,0,0,0,0
