allee
alma
altar
amper
asfalt
deemon
diivan
eirama
elu
elund
endine
etendama
hägus
hinne
hirm
idanema
ilmuma
internet
isekas
isend
jagama
joon
jope
juht
kahi
käima
kaine
kaitsma
kalduma
kalur
kannikas
kärama
karask
kartul
kasarm
kausjas
keeks
keelend
kekats
kell
kemplema
kerge
kesine
kimp
kirjutama
klaver
klibune
klipp
kodanik
kõld
kosmos
kroonika
kuduma
kujundlik
küpsetama
kütma
laasima
laenama
lähe
läkitama
laks
lapselik
laug
logu
lõikama
lõpetama
loterii
lugema
luksuma
luud
madal
mainekas
meeldima
mõhn
muda
mudane
muiatama
mülgas
mürakas
muutma
näiv
nali
needma
nõu
nühkima
nukk
nukker
õhuke
ootama
optiline
orav
otsima
papill
pärssiv
patt
pekk
pidama
piits
pilk
põhine
pood
poolitama
popurrii
pragunema
pruukima
punker
puri
pussitama
putukas
puudutama
rase
raudne
riik
rikastuma
rivistama
rõigas
rokane
roll
rondell
rüma
rüütel
sääst
seadmus
seerum
segment
seif
sihitu
siiras
sirp
soikuma
sõimama
sõna
sumadan
sünnis
suusk
tagumine
tagurlane
täpne
tehas
teler
tõbi
toimik
toores
trauma
tuginema
tühi
tümisema
tüse
tüütu
udutama
üldine
ülem
ülemine
ulm
uuendama
vabanema
väi
vain
valsk
vana
vapustav
värav
vastama
veok
vihje
viima
viiul
viivitama
vilkama
vinetama
vinjett
visand
võimetu
võpatama
